stateName,avgTeacherStartingSalary,avgSATScore,avgACTScore,NAEPScoreReading,NAEPScoreMath,highschoolGradRate,percentCompletingCollege,eduSpendingPerPupil,
Alabama ,41028,1143,18.9,263 ,273 ,92,25.5,10116.28614,
California ,49303,1065,22.6,262 ,288 ,85,33.9,14053.17631,
Florida ,38724,999,20.1,260 ,NULL,87,29.9,9936.722694,
Idaho ,38015,993,22.5,267 ,294 ,81,27.6,8271.566953,
Kentucky ,37238,1232,19.8,254 ,282 ,91,24.2,11396.83529,
Maryland ,47959,1058,22.3,271 ,NULL,87,40.2,14643.81636,
Massachusetts ,47396,1120,25.5,273 ,298 ,88,43.7,18268.60485,
New York ,47181,1064,24.5,268 ,NULL,83,36.6,25520.36024,
Ohio ,37569,1097,20.0,261 ,NULL,82,28.3,13804.54123,
South Dakota ,39636,1268,21.6,266 ,289 ,84,28.8,10233.78315,
Texas ,44582,1022,20.5,285 ,NULL,90,29.9,NULL,
Washington ,49113,1074,22.1,236 ,NULL,81,36.0,14555.71182,